,Регион_x_left,Год_x_left,Численность_населения_left,Регион_Год,Регион_y_left,Год_y_left,Смертность_детей_сельская_местность_left,Регион_left,Год_left,Смертность_детей_город_left,Регион_expense_left,Год_expense_left,Соцрасходы_left,Регион_income_left,Год_income_left,Доходы_left,Регион_grd_left,Год_grd_left,ВРП_left,Регион_extraction_left,Год_extraction_left,Полезные_ископаемые_left,Регион_processing_left,Год_processing_left,Обрабатывающее_производство_left,Регион_energy_left,Год_energy_left,Электроэнергия_left,Регион_water_left,Год_water_left,Водоснабжение_left,Регион_industrial_left,Год_industrial_left,Промышленность_left,Регион_retail_left,Год_retail_left,Розничная_торговля_left,Регион_drug_left,Год_drug_left,Наркомания_left,Регион_alco_left,Год_alco_left,Алкоголизм_left,Регион_newborn_left,Год_newborn_left,Новорожденные_left,Регион_total_crime_left,Год_total_crime_left,Общая_преступность_left,Регион_serious_crime_left,Год_serious_crime_left,Тяжелые_преступления_left,Регион_economic_crime_left,Год_economic_crime_left,Экономические_преступления_left,Регион_drug_crime_left,Год_drug_crime_left,Нарко_преступления_left,Регион_disabled_total_left,Год_disabled_total_left,Общее_число_инвалидов_left,Регион_disabled_18_30_left,Год_disabled_18_30_left,Число_инвалидов_18_30_left,Регион_disabled_31_40_left,Год_disabled_31_40_left,Число_инвалидов_31_40_left,Регион_disabled_41_50_left,Год_disabled_41_50_left,Число_инвалидов_41_50_left,Регион_disabled_51_60_left,Год_disabled_51_60_left,Число_инвалидов_51_60_left,Регион_disabled_60_left,Год_disabled_60_left,Число_инвалидов_60_left,Регион_poverty_left,Год_poverty_left,Бедные_left,Регион_children_left,Год_children_left,Малообеспеченные дети_left,Регион_working_left,Год_working_left,Малообеспеченные трудящиеся_left,Регион_elderly_long_left,Год_elderly_long_left,Малообеспеченные пенсионеры_left
0,Алтайский край,2016,2376774.0,Алтайский край_2016,Алтайский край,2016,87.0,Алтайский край,2016,124.0,Алтайский край,2016.0,20.4,Алтайский край,2016.0,21256.0,Алтайский край,2016.0,224525.8,Алтайский край,2016.0,4852175.4,Алтайский край,2016.0,265882785.23,Алтайский край,2016.0,45046977.27,Алтайский край,2016.0,8068621.4,Алтайский край,2016.0,367988195.7,Алтайский край,2016.0,20.4,Алтайский край,2016.0,17.4,Алтайский край,2016.0,100.1,Алтайский край,2016,28624.0,Алтайский край,2016,44576.0,Алтайский край,2016,1637.0,Алтайский край,2016,1052.0,Алтайский край,2016,3430.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Алтайский край,2016.0,17.8,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
1,Амурская область,2016,805689.0,Амурская область_2016,Амурская область,2016,23.0,Амурская область,2016,30.0,Амурская область,2016.0,28.9,Амурская область,2016.0,27976.0,Амурская область,2016.0,370192.4,Амурская область,2016.0,64379100.3,Амурская область,2016.0,27898736.6,Амурская область,2016.0,33658987.3,Амурская область,2016.0,2880550.2,Амурская область,2016.0,134422073.8,Амурская область,2016.0,28.9,Амурская область,2016.0,18.9,Амурская область,2016.0,92.3,Амурская область,2016,10377.0,Амурская область,2016,18656.0,Амурская область,2016,482.0,Амурская область,2016,496.0,Амурская область,2016,1769.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Амурская область,2016.0,17.0,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
2,Архангельская область,2016,2304318.0,Архангельская область_2016,Архангельская область,2016,35.0,Архангельская область,2016,125.0,Архангельская область,2016.0,16.3,Архангельская область,2016.0,61231.0,Архангельская область,2016.0,1010248.6,Архангельская область,2016.0,564681118.4000001,Архангельская область,2016.0,627366177.6,Архангельская область,2016.0,138909834.64,Архангельская область,2016.0,11055309.1,Архангельская область,2016.0,1002612534.1,Архангельская область,2016.0,16.3,Архангельская область,2016.0,4.0,Архангельская область,2016.0,77.6,Архангельская область,2016,27434.0,Архангельская область,2016,19994.0,Архангельская область,2016,781.0,Архангельская область,2016,954.0,Архангельская область,2016,898.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Архангельская область,2016.0,15.2,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
3,Астраханская область,2016,1018626.0,Астраханская область_2016,Астраханская область,2016,21.0,Астраханская область,2016,61.0,Астраханская область,2016.0,20.5,Астраханская область,2016.0,22841.0,Астраханская область,2016.0,361704.8,Астраханская область,2016.0,137479662.7,Астраханская область,2016.0,61916666.4,Астраханская область,2016.0,28401900.1,Астраханская область,2016.0,4784234.19,Астраханская область,2016.0,313284869.19,Астраханская область,2016.0,20.5,Астраханская область,2016.0,2.3,Астраханская область,2016.0,61.8,Астраханская область,2016,14270.0,Астраханская область,2016,13893.0,Астраханская область,2016,874.0,Астраханская область,2016,820.0,Астраханская область,2016,2014.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Астраханская область,2016.0,16.1,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
4,Белгородская область,2016,1550137.0,Белгородская область_2016,Белгородская область,2016,36.0,Белгородская область,2016,72.0,Белгородская область,2016.0,11.8,Белгородская область,2016.0,29799.0,Белгородская область,2016.0,501467.8,Белгородская область,2016.0,88929906.1,Белгородская область,2016.0,603881379.96,Белгородская область,2016.0,28225012.75,Белгородская область,2016.0,10614103.8,Белгородская область,2016.0,783325738.0,Белгородская область,2016.0,11.8,Белгородская область,2016.0,1.6,Белгородская область,2016.0,46.1,Белгородская область,2016,17261.0,Белгородская область,2016,13715.0,Белгородская область,2016,494.0,Белгородская область,2016,888.0,Белгородская область,2016,908.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Белгородская область,2016.0,8.1,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
5,Брянская область,2016,1225741.0,Брянская область_2016,Брянская область,2016,36.0,Брянская область,2016,67.0,Брянская область,2016.0,26.6,Брянская область,2016.0,24006.0,Брянская область,2016.0,258752.7,Брянская область,2016.0,280672.3,Брянская область,2016.0,175557997.82,Брянская область,2016.0,16828772.5,Брянская область,2016.0,7347143.3,Брянская область,2016.0,214707621.5,Брянская область,2016.0,26.6,Брянская область,2016.0,13.2,Брянская область,2016.0,107.9,Брянская область,2016,13379.0,Брянская область,2016,15821.0,Брянская область,2016,626.0,Брянская область,2016,542.0,Брянская область,2016,1007.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Брянская область,2016.0,14.4,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
6,Владимирская область,2016,1397168.0,Владимирская область_2016,Владимирская область,2016,28.0,Владимирская область,2016,72.0,Владимирская область,2016.0,18.0,Владимирская область,2016.0,22365.0,Владимирская область,2016.0,309713.7,Владимирская область,2016.0,3180328.6,Владимирская область,2016.0,411594159.61,Владимирская область,2016.0,36603516.27,Владимирская область,2016.0,9986624.8,Владимирская область,2016.0,453782355.79,Владимирская область,2016.0,18.0,Владимирская область,2016.0,10.7,Владимирская область,2016.0,75.7,Владимирская область,2016,15662.0,Владимирская область,2016,19138.0,Владимирская область,2016,880.0,Владимирская область,2016,1024.0,Владимирская область,2016,1343.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Владимирская область,2016.0,14.6,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
7,Волгоградская область,2016,2545937.0,Волгоградская область_2016,Волгоградская область,2016,44.0,Волгоградская область,2016,121.0,Волгоградская область,2016.0,26.7,Волгоградская область,2016.0,21419.0,Волгоградская область,2016.0,324961.1,Волгоградская область,2016.0,45487289.75,Волгоградская область,2016.0,615925694.36,Волгоградская область,2016.0,63363990.78,Волгоградская область,2016.0,14640566.8,Волгоградская область,2016.0,853778382.1,Волгоградская область,2016.0,26.7,Волгоградская область,2016.0,6.0,Волгоградская область,2016.0,67.9,Волгоградская область,2016,28012.0,Волгоградская область,2016,38742.0,Волгоградская область,2016,1267.0,Волгоградская область,2016,1983.0,Волгоградская область,2016,1925.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Волгоградская область,2016.0,14.4,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
8,Вологодская область,2016,1187685.0,Вологодская область_2016,Вологодская область,2016,39.0,Вологодская область,2016,65.0,Вологодская область,2016.0,21.4,Вологодская область,2016.0,26602.0,Вологодская область,2016.0,430041.5,Вологодская область,2016.0,554460.2,Вологодская область,2016.0,515013392.38,Вологодская область,2016.0,43212650.25,Вологодская область,2016.0,7871897.2,Вологодская область,2016.0,621394857.6,Вологодская область,2016.0,21.4,Вологодская область,2016.0,4.4,Вологодская область,2016.0,64.3,Вологодская область,2016,15729.0,Вологодская область,2016,25724.0,Вологодская область,2016,963.0,Вологодская область,2016,899.0,Вологодская область,2016,1554.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Вологодская область,2016.0,13.8,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
9,Воронежская область,2016,2333477.0,Воронежская область_2016,Воронежская область,2016,24.0,Воронежская область,2016,96.0,Воронежская область,2016.0,15.4,Воронежская область,2016.0,29284.0,Воронежская область,2016.0,354657.9,Воронежская область,2016.0,5601161.95,Воронежская область,2016.0,414143512.46,Воронежская область,2016.0,64230792.22,Воронежская область,2016.0,12116144.9,Воронежская область,2016.0,529549775.7,Воронежская область,2016.0,15.4,Воронежская область,2016.0,20.1,Воронежская область,2016.0,97.1,Воронежская область,2016,24938.0,Воронежская область,2016,34370.0,Воронежская область,2016,1216.0,Воронежская область,2016,1444.0,Воронежская область,2016,2443.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Воронежская область,2016.0,9.4,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
